Fold,Class,precision,recall,f1-score,support
1,0,1.0,1.0,1.0,100.0
1,1,1.0,1.0,1.0,297.0
1,macro avg,1.0,1.0,1.0,397.0
1,weighted avg,1.0,1.0,1.0,397.0
2,0,1.0,0.98989898989899,0.9949238578680203,99.0
2,1,0.9966555183946488,1.0,0.998324958123953,298.0
2,macro avg,0.9983277591973244,0.994949494949495,0.9966244079959867,397.0
2,weighted avg,0.9974895326992578,0.9974811083123426,0.9974768248107608,397.0
3,0,1.0,1.0,1.0,99.0
3,1,1.0,1.0,1.0,298.0
3,macro avg,1.0,1.0,1.0,397.0
3,weighted avg,1.0,1.0,1.0,397.0
4,0,1.0,0.9797979797979798,0.9897959183673469,99.0
4,1,0.9933333333333333,1.0,0.9966555183946488,298.0
4,macro avg,0.9966666666666666,0.9898989898989898,0.9932257183809978,397.0
4,weighted avg,0.9949958018471872,0.9949622166246851,0.9949449380351957,397.0
5,0,1.0,1.0,1.0,99.0
5,1,1.0,1.0,1.0,297.0
5,macro avg,1.0,1.0,1.0,396.0
5,weighted avg,1.0,1.0,1.0,396.0
