Fold,Class,precision,recall,f1-score,support
1,0,1.0,1.0,1.0,100.0
1,1,1.0,1.0,1.0,99.0
1,2,1.0,1.0,1.0,99.0
1,3,1.0,1.0,1.0,99.0
1,macro avg,1.0,1.0,1.0,397.0
1,weighted avg,1.0,1.0,1.0,397.0
2,0,1.0,0.98989898989899,0.9949238578680203,99.0
2,1,0.9900990099009901,1.0,0.9950248756218906,100.0
2,2,1.0,1.0,1.0,99.0
2,3,1.0,1.0,1.0,99.0
2,macro avg,0.9975247524752475,0.9974747474747475,0.9974871833724777,397.0
2,weighted avg,0.9975060478340025,0.9974811083123426,0.9974809810859523,397.0
3,0,1.0,1.0,1.0,99.0
3,1,1.0,1.0,1.0,99.0
3,2,1.0,1.0,1.0,100.0
3,3,1.0,1.0,1.0,99.0
3,macro avg,1.0,1.0,1.0,397.0
3,weighted avg,1.0,1.0,1.0,397.0
4,0,1.0,0.9797979797979798,0.9897959183673469,99.0
4,1,0.9801980198019802,1.0,0.99,99.0
4,2,1.0,1.0,1.0,99.0
4,3,1.0,1.0,1.0,100.0
4,macro avg,0.995049504950495,0.9949494949494949,0.9949489795918367,397.0
4,weighted avg,0.9950619747113251,0.9949622166246851,0.994961702565157,397.0
5,0,1.0,1.0,1.0,99.0
5,1,1.0,1.0,1.0,99.0
5,2,1.0,1.0,1.0,99.0
5,3,1.0,1.0,1.0,99.0
5,macro avg,1.0,1.0,1.0,396.0
5,weighted avg,1.0,1.0,1.0,396.0
